,Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*,BBL
907,2.0,2909.0,32.0,2009540.0,X058,DOE,72,107.8,5,88,102.9,5.3,2029090032
908,2.0,2913.0,1.0,2009555.0,X970,DOE,22,213.4,6,19,207.8,6.1,2029130001
909,2.0,2923.0,18.0,2815559.0,X465,DOE,Not Available,Not Available,3.3,2,288.3,8.8,2029230018
910,2.0,2925.0,1.0,2009611.0,X148,DOE,62,91.7,3.9,89,105.2,5.1,2029250001
911,2.0,2925.0,56.0,2009617.0,X002,DOE,74,85.8,4.3,89,103.4,5.9,2029250056
912,2.0,2930.0,1.0,2009659.0,X004,DOE,77,114.6,4.5,77,120.8,4.9,2029300001
913,2.0,2930.0,75.0,2100071.0,X171,DOE,18,200.6,6.9,39,185.9,6.5,2029300075
914,2.0,2932.0,1.0,2009718.0,X110,DOE,83,87.1,3.9,89,80.6,4.2,2029320001
915,2.0,2939.0,45.0,2009865.0,X061,DOE,31,126.1,5.2,71,111.4,4.7,2029390045
916,2.0,2939.0,93.0,2009867.0,X098,DOE,29,105.2,4.5,82,114.3,4.9,2029390093
917,2.0,2949.0,64.0,2009957.0,X044,DOE,28,115.3,4.6,75,114.9,5,2029490064
918,2.0,2951.0,32.0,2094582.0,X193,DOE,61,106,4.4,81,108,4.8,2029510032
919,2.0,2965.0,82.0,2010273.0,"X134 within (X134, X834)",DOE,46,120.2,5.3,52,128.3,5.7,2029650082
920,2.0,2965.0,82.0,2010273.0,"X834 within (X134, X834)",DOE,46,120.2,5.3,52,128.3,5.7,2029650082
921,2.0,2969.0,1.0,2010344.0,X136,DOE,83,88.4,4.1,82,89.5,4.3,2029690001
922,2.0,2983.0,15.0,2010604.0,X973,DOE,1,275.3,7.8,12,217.8,6.4,2029830015
923,2.0,2990.0,6.0,2010671.0,X817,DOE,68,129.9,3.4,91,144.7,3.8,2029900006
924,2.0,2996.0,10.0,2010786.0,X050,DOE,57,119.3,5,58,118.8,6.1,2029960010
925,2.0,3005.0,10.0,2010892.0,"X006 within (X006, X936)",DOE,52,113.8,4.2,76,105.7,4.2,2030050010
926,2.0,3007.0,8.0,2010910.0,X084,DOE,87,98.3,4.3,88,91.3,4.1,2030070008
927,2.0,3008.0,1.0,2010916.0,X066,DOE,68,100.8,3.7,75,93.7,3.8,2030080001
928,2.0,3013.0,1.0,2010945.0,X878,DOE,46,181.2,5.8,73,177.4,5.9,2030130001
929,2.0,3021.0,38.0,2094603.0,X167,DOE,71,109.5,4.9,83,94.2,4.2,2030210038
930,2.0,3024.0,21.0,2011054.0,"X085 within (X085, X885)",DOE,59,113.6,4.6,68,108.1,4.7,2030240021
931,2.0,3024.0,21.0,2011054.0,"X885 within (X085, X885)",DOE,59,113.6,4.6,68,108.1,4.7,2030240021
932,2.0,3033.0,7501.0,2116415.0,X283,DOE,93,148.1,4.1,95,144.7,4.1,2030337501
933,2.0,3037.0,79.0,2090472.0,X023,DOE,42,154.3,5.6,38,158.8,6.2,2030370079
934,2.0,3049.0,37.0,2011538.0,X059,DOE,57,90.4,3.8,86,93.4,3.9,2030490037
935,2.0,3058.0,0.0,2103863.0,X254,DOE,36,183.4,5.5,46,166.5,5.1,2030580000
936,2.0,3059.0,1.0,2011810.0,X435,DOE,89,112.9,7.7,97,128.7,7,2030590001
937,2.0,3061.0,55.0,2011844.0,X211,DOE,86,124.1,4.9,78,141.1,6,2030610055
938,2.0,3062.0,6.0,2011852.0,X853,DOE,20,212.2,5.5,54,179.2,4.7,2030620006
939,2.0,3062.0,43.0,2099356.0,X003,DOE,56,159.5,5.2,48,159.7,5.5,2030620043
940,2.0,3067.0,1.0,2011937.0,X045,DOE,73,105.1,4,77,101.1,4.1,2030670001
941,2.0,3069.0,1.0,2011995.0,"X118 within (X118, X932)",DOE,51,125.1,4.9,93,137.5,5.6,2030690001
942,2.0,3069.0,1.0,2011995.0,"X932 within (X118, X932)",DOE,51,125.1,4.9,93,137.5,5.6,2030690001
